tw,ch,en
罪行的普遍程度,罪行的普遍程度,prevalence of ... offence
判刑前評估專責小組,判刑前评估专责小组,pre-sentence assessment panel
敵對證人,敌对证人,hostile witness
非宗教式保密宣誓,非宗教式保密宣誓,affirmation of secrecy
訴訟以外一方,诉讼以外一方,outside party
判詞旁論,判词旁论,obiter dictum
具說服力的證據,具说服力的证据,compelling evidence
有組織罪行,有组织罪行,organized crime
公訴提控,公诉提控,arraignment
案例獲得確認,案例获得确认,case affirmed
排期,排期,set down
錯誤引用法律,错误引用法律,misapplication of law
劃線字/斜體字/粗體字為強調部分,划线字/斜体字/粗体字为强调部分,emphasis supplied
缺乏理據的上訴,缺乏理据的上诉,unmeritorious appeal
自簽守行為,自签守行为,bind over to keep the peace ... his own recognizances
具說服力的判例,具说服力的判例,persuasive authority
罪行的普遍程度,罪行的普遍程度,prevalence of ... offence
法定的免責辯護理由,法定的免责辩护理由,statutory defence
不自覺的偏見,不自觉的偏见,unconscious bias
控罪不得包含多項罪行的原則,控罪不得包含多项罪行的原则,rule against duplicity
司法人員培訓委員會標準指引,司法人员培训委员会标准指引,standard Judicial Studies Board direction
一般法律原則,一般法律原则,general principles of law
法庭以外陳述,法庭以外陈述,extra-judicial statement
有合理理由相信,有合理理由相信,reasonable belief
連繫,连系,nexus
較高舉證準則,较高举证准则,higher standard of proof
足三分一刑期減免,足三分一刑期减免,full discount of one-third of the sentence
單獨管有或共同管有,单独管有或共同管有,exclusive possession or joint possession
不一致的證據,不一致的证据,inconsistent evidence
刑事紀錄,刑事纪录,criminal records
公正公開的聆訊,公正公开的聆讯,fair and public hearing
有權提出……上訴,有权提出……上诉,appeal ... competent
精神上無能力,精神上无能力,disability of mind
具有重大而廣泛的重要性的法律論點,具有重大而广泛的重要性的法律论点,point of law of great and general importance
後期認罪,后期认罪,late plea
補錄,补录,post-record
違反逗留條件,违反逗留条件,breach of condition of stay
證明案件無合理疑點,证明案件无合理疑点,prove a case beyond reasonable doubt
偏離……指引,偏离……指引,departure from the guideline
實際獲益,实际获益,actual gain
獲免予起訴的證人,获免予起诉的证人,immunised witness
介入者,介入者,intervener
量刑指引,量刑指引,sentencing tariff
不存偏見且得到妥善指引的陪審團,不存偏见且得到妥善指引的陪审团,unprejudiced jury properly directed
有合理理由相信,有合理理由相信,reasonable belief
檢控時限,检控时限,time limit for prosecution of offences
不可抗拒之推論,不可抗拒之推论,irresistible inference
合理推斷,合理推断,reasonable inference
強行干預訴訟,强行干预诉讼,maintenance
一系列相關的典據,一系列相关的典据,line of authorities
進行上訴,进行上诉,prosecute ... appeal
整體量刑起點,整体量刑起点,global starting point
申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
一致行動,一致行动,acting in concert
提起法律程序,提起法律程序,initiate proceedings
過高利率,过高利率,excessive interest rates
執行公義，不忘寬大,执行公义，不忘宽大,temper justice with mercy
典據列表,典据列表,list of authorities
給予……證據分量,给予……证据分量,attach weight to ... evidence
特殊權力,特殊权力,extraordinary power
放棄上訴,放弃上诉,abandonment of appeal
捏造證據,捏造证据,concoction
歸還罪犯安排,归还罪犯安排,rendition arrangement
死於胎中的個案,死于胎中的个案,still birth
容納……的釋義方式,容纳……的释义方式,admit of a construction
特級證人,特级证人,supergrass
合法權限,合法权限,lawful authority
技術上違反法律,技术上违反法律,technical breach of the law
已確立的量刑政策,已确立的量刑政策,settled sentencing policy
劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis supplied
裁定無罪,裁定无罪,acquittal
推翻……裁決,推翻……裁决,reverse...verdict
從合法羈押逃脫,从合法羁押逃脱,escape from lawful custody
有關管有和知悉的推定,有关管有和知悉的推定,presumption relating to possession and knowledge
具有重大而廣泛的重要性的法律論點,具有重大而广泛的重要性的法律论点,point of law of great and general importance
重新簽發的同意書,重新签发的同意书,fresh consent
文件及資料的披露,文件及资料的披露,discovery
集團式犯罪活動,集团式犯罪活动,syndicated criminal activity
干擾或干預,干扰或干预,tampered or interfered with
就幾乎必然發生的情況給予指引,就几乎必然发生的情况给予指引,virtual certainty direction
罪行詳情,罪行详情,particulars of offence
明顯不足,明显不足,manifestly inadequate
含糊不清的認罪,含糊不清的认罪,equivocal plea
所犯罪行惹起公憤,所犯罪行惹起公愤,public abhorrence of the crime committed
放棄上訴,放弃上诉,abandonment of appeal
瞬間的聲音,瞬间的声音,fleeting hearing
過堂聆訊,过堂聆讯,call over
精神科醫生報告,精神科医生报告,psychiatric report
刑事罪責程度,刑事罪责程度,degree of criminal culpability
不用的資料,不用的资料,unused material
違反逗留條件,违反逗留条件,breach of condition of stay
法庭以外陳述,法庭以外陈述,extra-judicial statement
證案價值,证案价值,probative value
推翻推定,推翻推定,displace presumption
改為認罪,改为认罪,reversal of plea
公然違反,公然违反,flagrant breach
處心積慮,处心积虑,calculated
貫徹立法的目的,贯彻立法的目的,promote the objects of the statute
將案件移交……,将案件移交……,remit the case
知情的默許,知情的默许,informed acquiescence
基於錯誤理解而提出的反對,基于错误理解而提出的反对,objection misconceived
強而有力的證據,强而有力的证据,cogent evidence
針對刑罰的上訴,针对刑罚的上诉,appeal against sentence
量刑過程,量刑过程,sentencing process
維護個人利益的供詞,维护个人利益的供词,self-serving statement
將案由述要送交存檔,将案由述要送交存档,file a case
同意的事實,同意的事实,agreed facts
事實情節複雜,事实情节复杂,factual complexity
判刑權限,判刑权限,sentencing jurisdiction
附帶權力,附带权力,ancillary powers
當事人,当事人,principal
司法管轄權的爭論點,司法管辖权的争论点,issue of jurisdiction
放棄上訴通知,放弃上诉通知,notice of abandonment
嚴重入屋犯法罪,严重入屋犯法罪,aggravated burglary
推翻認罪的申請,推翻认罪的申请,application for reversing the guilty plea
再犯案,再犯案,re-offending
不幸以致死亡,不幸以致死亡,misadventure
不服釋放命令的上訴,不服释放命令的上诉,appeal from order for discharge
一切合理步驟,一切合理步骤,all reasonable steps
主審法院,主审法院,court of trial
整體刑期,整体刑期,overall length of sentence
法醫驗證,法医验证,forensic examination
倒轉舉證責任的條文,倒转举证责任的条文,reverse-onus provision
各方出席的聆訊,各方出席的聆讯,inter-partes hearing
劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis added
司法管轄權的爭論點,司法管辖权的争论点,issue of jurisdiction
開脫罪責的供詞,开脱罪责的供词,exculpatory statement
證人的可信程度,证人的可信程度,credibility of witness
上訴理據,上诉理据,merits of appeal
技術上干犯罪行,技术上干犯罪行,technical offence
判刑量,判刑量,quantum of sentence
意圖使……受驚,意图使……受惊,intent to alarm
案中案程序,案中案程序,voire dire
無能力犯罪,无能力犯罪,doli incapax
口頭招認,口头招认,oral confession
法律構定的管有,法律构定的管有,constructive possession
可信程度,可信程度,credibility
基礎事實,基础事实,primary facts
量刑起點,量刑起点,starting point of sentence
上訴宗卷,上诉宗卷,appeal bundle
推斷,推断,inference
類似司法的職能,类似司法的职能,quasi-judicial function
不能共存,不能共存,mutually exclusive
店舖盜竊,店铺盗窃,shoplifting
原審律師,原审律师,trial counsel
整體犯罪行為,整体犯罪行为,overall criminality
危害生命,危害生命,endanger life
申請查閱對方準備呈堂的文件及證物表,申请查阅对方准备呈堂的文件及证物表,discovery
劃線/斜體/粗體自加，以資強調,划线/斜体/粗体自加，以资强调,emphasis added
申請剔除上訴通知書,申请剔除上诉通知书,application to strike out notice of appeal
申請覆核刑罰,申请复核刑罚,application ... for review of sentence
凌駕……的因素,凌驾……的因素,overriding factor
